,0
hrs_com_since_reviewed_median,0.3101764705882353
hrs_com_since_reviewed_min,0.3101764705882353
hrs_com_since_reviewed_max,0.3101764705882353
hrs_com_since_reviewed_mean,0.3101764705882353
hrs_since_rev_or_rec_min,0.26694117647058824
hrs_com_since_received_mean,0.26694117647058824
hrs_com_since_received_median,0.26694117647058824
time_completed_median,0.26694117647058824
time_completed_mean,0.26694117647058824
time_completed_max,0.26694117647058824
time_completed_min,0.26694117647058824
hrs_com_since_received_max,0.26694117647058824
hrs_com_since_received_min,0.26694117647058824
hrs_since_rev_or_rec_max,0.26694117647058824
hrs_since_rev_or_rec_mean,0.26694117647058824
hrs_since_rev_or_rec_median,0.26694117647058824
income,0.12794117647058822
gender,0.12794117647058822
amount_sum,0.024823529411764706
amount_mean,0.024823529411764706
amount_min,0.024823529411764706
amount_max,0.024823529411764706
amount_median,0.024823529411764706
trxs,0.024823529411764706
hrs_since_received_median,0.009764705882352941
time_reviewed_mean,0.009764705882352941
time_reviewed_min,0.009764705882352941
time_reviewed_max,0.009764705882352941
hrs_since_received_mean,0.009764705882352941
time_reviewed_median,0.009764705882352941
hrs_since_received_min,0.009764705882352941
hrs_since_received_max,0.009764705882352941
completion_from_view_rate,0.005470588235294118
social_max,0.00035294117647058826
informational_mean,0.00035294117647058826
web_sum,0.00035294117647058826
web_mean,0.00035294117647058826
web_max,0.00035294117647058826
discount_sum,0.00035294117647058826
discount_mean,0.00035294117647058826
discount_max,0.00035294117647058826
informational_sum,0.00035294117647058826
bogo_max,0.00035294117647058826
informational_max,0.00035294117647058826
bogo_sum,0.00035294117647058826
bogo_mean,0.00035294117647058826
social_sum,0.00035294117647058826
offers_completed_sum,0.00035294117647058826
view_rate,0.00035294117647058826
offers_viewed_sum,0.00035294117647058826
offers_received_distinct,0.00035294117647058826
offers_received,0.00035294117647058826
social_mean,0.00035294117647058826
email_max,0.00035294117647058826
mobile_max,0.00035294117647058826
mobile_mean,0.00035294117647058826
time_received_median,0.00035294117647058826
time_received_mean,0.00035294117647058826
time_received_max,0.00035294117647058826
time_received_min,0.00035294117647058826
reward_min,0.00035294117647058826
reward_max,0.00035294117647058826
completion_rate,0.00035294117647058826
reward_median,0.00035294117647058826
difficulty_min,0.00035294117647058826
difficulty_max,0.00035294117647058826
difficulty_mean,0.00035294117647058826
difficulty_median,0.00035294117647058826
duration_min,0.00035294117647058826
duration_max,0.00035294117647058826
duration_mean,0.00035294117647058826
duration_median,0.00035294117647058826
email_sum,0.00035294117647058826
email_mean,0.00035294117647058826
mobile_sum,0.00035294117647058826
reward_mean,0.00035294117647058826
